date,btc_price,trend_score,vol_scalar,target_weight,prev_weight,new_weight,action,trade_pct,daily_return,strat_equity,hodl_equity,drawdown
2026-06-06,60850.48,0,1,0,0,0,MANTENER,0,-0.00297418,1,1,0
2026-06-07,63302.73,0,1,0,0,0,MANTENER,0,0.0402996,1.00010746,1.0402996,0
2026-06-08,63062.98,0,1,0,0,0,MANTENER,0,-0.00378736,1.00021493,1.03635961,0
2026-06-09,61685.8,0,1,0,0,0,MANTENER,0,-0.02183817,1.00032241,1.01372742,0
2026-06-10,61449.46,0,1,0,0,0,MANTENER,0,-0.00383135,1.00042991,1.00984347,0
2026-06-11,63563.42,0,1,0,0,0,MANTENER,0,0.0344016,1.00053741,1.04458371,0
2026-06-12,63538.43,0,1,0,0,0,MANTENER,0,-0.00039315,1.00064493,1.04417303,0
2026-06-13,64429.99,0,1,0,0,0,MANTENER,0,0.01403182,1.00075246,1.05882468,0
2026-06-14,65706.62,0,1,0,0,0,MANTENER,0,0.01981422,1.00086,1.07980446,0
2026-06-15,66276.8,0,1,0,0,0,MANTENER,0,0.00867766,1.00096755,1.08917465,0
2026-06-16,65616.64,0,1,0,0,0,MANTENER,0,-0.00996065,1.00107512,1.07832576,0
2026-06-17,64446.04,0,1,0,0,0,MANTENER,0,-0.01783999,1.00118269,1.05908844,0
2026-06-18,62879.01,0,1,0,0,0,MANTENER,0,-0.02431538,1.00129028,1.0333363,0
2026-06-19,63475.2,0,1,0,0,0,MANTENER,0,0.00948154,1.00139788,1.04313392,0
2026-06-20,64222.99,0,1,0,0,0,MANTENER,0,0.01178082,1.00150549,1.0554229,0
2026-06-21,63235.63,0,1,0,0,0,MANTENER,0,-0.01537393,1.00161311,1.0391969,0
2026-06-22,63950.61,0,1,0,0,0,MANTENER,0,0.0113066,1.00172074,1.05094668,0
2026-06-23,62644.86,0,1,0,0,0,MANTENER,0,-0.0204181,1.00182839,1.02948835,0
2026-06-24,60983.13,0,1,0,0,0,MANTENER,0,-0.0265262,1.00193604,1.00217993,0
2026-06-25,59703.65,0,1,0,0,0,MANTENER,0,-0.02098088,1.00204371,0.98115331,0
2026-06-26,60002.53,0,1,0,0,0,MANTENER,0,0.00500606,1.00215139,0.98606502,0
2026-06-27,59934.84,0,1,0,0,0,MANTENER,0,-0.00112812,1.00225908,0.98495262,0
2026-06-28,59474.01,0,1,0,0,0,MANTENER,0,-0.00768885,1.00236678,0.97737947,0
2026-06-29,60162.73,0,1,0,0,0,MANTENER,0,0.01158018,1.0024745,0.98869771,0
2026-06-30,58523.93,0,1,0,0,0,MANTENER,0,-0.02723946,1.00258222,0.96176612,0
2026-07-01,59961.45,0,1,0,0,0,MANTENER,0,0.02456294,1.00268996,0.98538993,0
2026-07-02,61484.02,0,1,0,0,0,MANTENER,0,0.02539248,1.00279771,1.01041142,0
2026-07-03,62520.22,0,1,0,0,0,MANTENER,0,0.01685316,1.00290547,1.02744005,0
2026-07-04,63086.45,0,1,0,0,0,MANTENER,0,0.00905675,1.00301324,1.03674531,0
2026-07-05,63580.44,0,1,0,0,0,MANTENER,0,0.00783037,1.00312103,1.04486341,0
2026-07-06,64001.84,0,1,0,0,0,MANTENER,0,0.00662782,1.00322882,1.05178858,0
2026-07-07,63323.27,0,1,0,0,0,MANTENER,0,-0.01060235,1.00333663,1.04063715,0
2026-07-08,62237.7,0,1,0,0,0,MANTENER,0,-0.0171433,1.00344445,1.02279719,0
